Year,Mänty (€),Kuusi (€),Koivu (€)
1983,40.34,25.21,13.45
1984,39.98,25.93,13.81
1985,39.62,26.65,14.17
1986,39.26,27.37,14.53
1987,38.9,28.09,14.89
1988,38.54,28.81,15.25
1989,38.18,29.53,15.61
1990,37.82,30.25,15.97
1991,38.66,31.26,16.13
1992,39.5,32.27,16.3
1993,40.34,33.28,16.47
1994,41.18,34.29,16.64
1995,42.02,35.29,16.81
1996,42.35,36.13,17.48
1997,42.69,36.97,18.15
1998,43.03,37.82,18.82
1999,43.36,38.66,19.5
2000,43.7,39.5,20.17
2001,46.05,42.02,20.5
2002,48.4,44.54,20.84
2003,50.76,47.06,21.18
2004,53.11,49.58,21.51
2005,55.46,52.1,21.85
2006,58.26,54.9,22.41
2007,61.06,57.7,22.97
2008,63.87,60.5,23.53
2009,57.7,54.9,21.85
2010,51.54,49.3,20.17
2011,45.38,43.7,18.49
2012,46.64,44.96,18.91
2013,47.9,46.22,19.33
2014,49.16,47.48,19.75
2015,50.42,48.74,20.17
2016,52.66,50.98,20.73
2017,54.9,53.22,21.29
2018,57.14,55.46,21.85
2019,59.38,57.7,22.41
2020,61.62,59.94,22.97
2021,63.87,62.18,23.53
2022,57.0,59.0,44.0
2023,63.0,67.0,48.0
2024,75.0,80.0,60.0
2025,82.0,85.0,68.0
